province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Unknown,United Kingdom,2022-07-28,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-05,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-31,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-24,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-19,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-18,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-26,,,,0,326,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-01,,,,0,312,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-13,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-21,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-21,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-29,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-11,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-23,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-09,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-30,,,,0,320,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-14,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-24,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-05,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-01,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-05,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-15,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-21,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-03,,,,0,322,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-01,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-27,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-20,,,,0,323,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-07,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-01,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-24,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-18,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-15,,,,0,0,,,,,"Unknown, United Kingdom"
